,ID,Title
402,35396,Add config flow and 2FA support for Blink
403,39695,Honeywell Lyric Integration
404,48902,Refactored flux_led integration with config flow and effect service
405,81149,Add electric kiwi integration
406,101497,Add sensor platform to Proximity
407,26226,Add support for SOMA Smartshades devices
408,26076,Add config flow to linky
409,36219,Update plugwise to async and config_flow sensor part
410,33729,Add discovery support to synology_dsm
411,70458,Refactor LIFX discovery to make it faster and more reliable
412,72790,Add Overkiz AtlanticElectricalHeaterWithAdjustableTemperatureSetpoint
413,95722,Add Komfovent
414,20068,Times of The Day Binary Sensor
415,31235,Add GDACS feed integration
416,30465,Add IamMeter integration
417,68386,Add config flow to Tankerkoenig
418,17691,Add support for Lupusec alarm control panel
419,26252,Add transport data from maps.yandex.ru api
420,42989,Add Motion Blinds integration
421,82560,Add config flow to qBittorrent
422,88862,Debounce and group MQTT subscriptions
423,107570,Add Epion integration
424,93777,Add Schlage integration
425,108428,Add expiration of unused refresh tokens
426,118243,Add support for native oauth2 in Point
427,5296,"new yeelight backend lib, new features"
428,14702,Add Calendar API endpoint to get events
429,26034,Add new integration for Jandy iAqualink pool control
430,37190,Add config flow to HLK-SW16
431,65089,Fivem integration
432,67631,Fix Bayesian sensor to use negative observations
433,96380,Add wake word integration
434,121091,Bump Intellifire to 4.1.9
435,15155,Add Brunt Cover device
436,15744,Add support for Habitica
437,39398,Add new air-humidifier device CA4 with miot protocol
438,71896,Add LaCrosse View integration
439,91606,Refactor LastFM to use shorthand attributes
440,100289,Add Medcom Bluetooth integration
441,88272,Sun WEG integration
442,94497,Add custom services for renson fans
443,111402,Add uptime sensor to Glances
444,15074,Add additional sensors for Arlo Baby camera
445,22578,Add sensor support for Dyson Purecool 2018 Air Purifiers models TP04 and DP04
446,25664,Add Mikrotik hub and rework device tracker
447,26197,Add atome sensor platform
448,30784,Add wiffi integration
449,31937,Add support for simultaneous runs of Script helper
450,32527,Add homekit camera support
451,44091,Home connect functional and ambient light added
452,50234,Refactor ModbusRegisterSensor class to get hub and configuration
453,66494,Add webhook trigger allowed_methods/local_only options
454,80288,Add config-flow to Snapcast
455,124879,Fix ring notifications
456,21199,Add support for Stiebel Eltron heat pumps
457,49699,Create Fritz device and connectivity sensor
458,65394,Add switch platform to UptimeRobot
459,66188,Add WS API for removing a config entry from a device
460,71501,Add Ukraine Alarm integration
461,88627,Add Config Flow to Obihai
462,96906,Add state_translated function to jinja templates
463,71644,Add local API support to Overkiz integration (Somfy TaHoma Developer Mode)
464,118047,Add config flow to Feedreader
465,14552,Add support for ZhongHong HVAC Controllers
466,22949,Add amcrest camera services and deprecate switches
467,31679,Add support for MQTT device triggers
468,33606,Speed up TP-Link lights
469,37737,Refactor Météo-France to use API instead of web scraping
470,41473,Add notification binary_sensor to Plugwise integration
471,48309,Add siren platform
472,51317,Modern Forms integration initial pass - Fan
473,53525,Add Flipr binary sensor
474,55540,Move parts of ssdp to async_upnp_client
475,62640,Add Overkiz integration (with base + sensor entity)
476,66552,Add update integration
477,91677,Add media_player platform to Android TV Remote
478,8825,Wi-Fi enabled Roomba support
479,14861,Add HomematicIP Cloud Config Flow and Entries loading
480,12229,Add light.group platform
481,17645,Add binary sensors for sense energy monitor
482,26434,Add config flow to transmission
